ID1;HHID;NRO_ORDEN_ID;QH30M;QH31M;QH32M_M;QH32M_Y;QH33M
2022;      020408301;1;2;93;9;2021; 
2022;      020412801;1;2;98;3;2017; 
2022;      020607901;1;1;48;7;2021; 
2022;      021203901;1;2;58;6;2021; 
2022;      021312001;1;1;28;7;2019; 
2022;      021406401;1;1;26;6;2022; 
2022;      021503201;1;2;64;10;2018; 
2022;      021601801;1;2;0;9;2019; 
2022;      021710501;1;1;59;9;2020; 
2022;      021713401;1;1;73;9;2020; 
2022;      022007001;1;1;65;1;2020; 
2022;      022200301;1;1;75;9;2021; 
2022;      022209801;1;2;65;8;2018; 
2022;      022602901;1;1;80;10;2020; 
2022;      022603101;1;1;80;1;2019; 
2022;      022800801;1;1;31;3;2022; 
2022;      023405201;1;1;93;5;2021; 
2022;      023503701;1;2;57;5;2020; 
2022;      023503701;2;2;78;11;2020; 
2022;      024004901;1;2;39;5;2019;4
2022;      024101101;1;2;80;11;2019; 
2022;      024101101;2;1;82;11;2020; 
2022;      024112601;1;1;77;6;2020; 
2022;      024200801;1;1;86;10;2019; 
2022;      025800601;1;2;68;2;2017; 
2022;      025801201;1;1;23;12;2017; 
2022;      025900301;1;2;83;9;2020; 
2022;      026008301;1;1;80;4;2018; 
2022;      026103301;1;1;12;6;2019; 
2022;      026904501;1;2;83;6;2018; 
2022;      027307401;1;1;23;5;2017; 
2022;      027307401;2;2;27;9;2017;2
2022;      027401901;1;2;82;11;2020; 
2022;      027402001;1;2;85;2;2021; 
2022;      027609801;1;1;64;1;2020; 
2022;      027700901;1;2;10;3;2020; 
2022;      027801701;1;2;37;3;2021;4
2022;      027902401;1;2;16;3;2019;4
2022;      028103401;1;1;19;12;2019; 
2022;      028205601;1;1;90;7;2020; 
2022;      029101001;1;1;68;10;2017; 
2022;      029101301;1;1;63;11;2019; 
2022;      029403901;1;2;45;4;2017;4
2022;      029701601;1;1;73;6;2020; 
2022;      029708401;1;2;37;1;2020;4
2022;      029907801;1;1;85;3;2021; 
2022;      030304101;1;2;60;3;2020; 
2022;      030308601;1;1;68;12;2020; 
2022;      030317701;1;1;62;4;2021; 
2022;      030412301;1;1;87;8;2020; 
2022;      030412301;2;2;87;8;2020; 
2022;      030604001;1;1;82;8;2021; 
2022;      030900701;1;2;78;7;2020; 
2022;      031707101;1;1;70;3;2021; 
2022;      031802401;1;2;68;8;2020; 
2022;      031802401;2;1;78;9;2020; 
2022;      031903101;1;1;98;1;2019; 
2022;      032008801;1;2;85;7;2018; 
2022;      032217501;1;2;42;4;2017;4
2022;      032217501;2;1;48;8;2017; 
2022;      032500101;1;1;77;11;2021; 
2022;      033000301;1;2;99;11;2019; 
2022;      033003701;1;1;74;8;2019; 
2022;      033110201;1;2;75;5;2020; 
2022;      033110301;1;2;66;10;2021; 
2022;      033512201;1;2;83;10;2017; 
2022;      033512201;2;2;71;7;2021; 
2022;      033703401;1;2;61;9;2018; 
2022;      034600301;1;1;0;11;2021; 
2022;      034806401;1;1;56;2;2021; 
2022;      035003801;1;2;75;7;2017; 
2022;      035006901;1;1;52;11;2019; 
2022;      035106601;1;1;97;5;2020; 
2022;      036205301;1;1;72;5;2018; 
2022;      036216101;1;1;68;11;2019; 
